order_id,order_date,city,state,category,quantity,payment_mode,delivery_type,unit_price,discount_percent,final_price,order_value,delivery_days,customer_rating,is_returned,profit
100075,2023-01-15,Bengaluru,Karnataka,Soil & Fertilizer,2,UPI,Standard,344,10.0,309.6,619.2,5,3.8,No,101.84
100076,2023-03-06,Jaipur,Rajasthan,Succulent,1,COD,Standard,351,15.0,298.34999999999997,298.34999999999997,6,3.8,No,44.76
100077,2024-06-04,Mumbai,Maharashtra,Tool,3,COD,Standard,420,0.0,420.0,1260.0,4,3.5,No,191.7
100078,2024-10-09,Bhopal,Madhya Pradesh,Succulent,1,COD,Express,262,15.0,222.7,222.7,3,4.6,No,66.99
100079,2025-12-22,Delhi,Delhi,Succulent,3,COD,Express,369,15.0,313.65,940.9499999999999,3,3.7,No,217.62
100080,2024-08-15,Bengaluru,Karnataka,Flowering Plant,3,Card,Standard,554,0.0,554.0,1662.0,8,4.5,No,287.56
100081,2024-01-27,Hyderabad,Telangana,Soil & Fertilizer,1,COD,Standard,219,15.0,186.15,186.15,3,4.7,No,45.02
100082,2024-02-23,Delhi,Delhi,Outdoor Plant,4,COD,Standard,512,0.0,512.0,2048.0,3,4.2,No,680.89
100083,2023-10-16,Bengaluru,Karnataka,Soil & Fertilizer,4,COD,Standard,206,5.0,195.7,782.8,6,4.2,No,180.26
100084,2024-01-14,Hyderabad,Telangana,Flowering Plant,2,UPI,Standard,566,5.0,537.6999999999999,1075.3999999999999,8,4.2,No,166.35
100085,2023-08-19,Mumbai,Maharashtra,Tool,3,COD,Express,548,,520.6,1561.8000000000002,1,4.4,Yes,300.37
100086,2025-10-14,Bhopal,Madhya Pradesh,Succulent,1,COD,Standard,367,15.0,311.95,311.95,8,4.7,Yes,84.86
100087,2023-02-10,Nagpur,Maharashtra,Soil & Fertilizer,3,COD,Express,297,5.0,282.15,846.4499999999999,3,3.7,No,167.85
100088,2025-11-17,Nagpur,Maharashtra,Succulent,4,COD,Express,358,15.0,304.3,1217.2,1,4.3,No,412.39
100089,2023-05-15,Bengaluru,Karnataka,Outdoor Plant,1,COD,Standard,493,0.0,493.0,493.0,6,3.5,Yes,158.05
100090,2023-07-20,Bhopal,Madhya Pradesh,Indoor Plant,1,UPI,Standard,402,5.0,381.9,381.9,6,3.2,No,111.52
100091,2025-02-18,Bengaluru,Karnataka,Flowering Plant,3,COD,Express,621,25.0,465.75,1397.25,2,2.9,No,287.37
100092,2025-07-18,Mumbai,Maharashtra,Indoor Plant,2,COD,Standard,428,5.0,406.59999999999997,813.1999999999999,8,2.7,No,135.37
100093,2025-11-22,Hyderabad,Telangana,Soil & Fertilizer,4,COD,Standard,246,10.0,221.4,885.6,3,3.5,Yes,272.15
100094,2025-12-07,Bhopal,Madhya Pradesh,Succulent,4,Card,Express,290,15.0,246.5,986.0,1,2.3,Yes,187.08
100095,2024-05-17,Delhi,Delhi,Tool,3,COD,Standard,421,0.0,421.0,1263.0,7,4.4,No,390.27
100096,2024-02-11,Hyderabad,Telangana,Tool,3,Card,Standard,460,15.0,391.0,1173.0,4,3.4,No,365.64
100097,2025-03-15,Delhi,Delhi,Succulent,2,Card,Standard,329,0.0,329.0,658.0,5,4.3,No,196.45
100098,2023-04-09,Delhi,Delhi,Pot,4,UPI,Express,380,10.0,342.0,1368.0,1,4.4,No,229.66
100099,2024-11-14,Mumbai,Maharashtra,Pot,2,UPI,Express,327,15.0,277.95,555.9,3,4.3,No,117.39
100100,2024-12-26,Pune,Maharashtra,Indoor Plant,1,UPI,Standard,484,0.0,484.0,484.0,6,3.4,No,81.29
100101,2025-08-18,Pune,Maharashtra,Pot,1,UPI,Standard,348,20.0,278.40000000000003,278.40000000000003,6,4.0,No,74.77
100102,2024-09-04,Bhopal,Madhya Pradesh,Tool,2,UPI,Standard,535,10.0,481.5,963.0,5,5.0,No,299.78
100103,2024-10-04,Jaipur,Rajasthan,Soil & Fertilizer,2,UPI,Express,320,0.0,320.0,640.0,3,4.0,No,186.48
100104,2025-10-25,Indore,Madhya Pradesh,Outdoor Plant,3,COD,Express,494,20.0,395.20000000000005,1185.6000000000001,2,3.7,No,385.83
100105,2024-05-17,Pune,Maharashtra,Soil & Fertilizer,4,UPI,Standard,332,20.0,265.6,1062.4,8,3.7,No,160.35
100106,2025-02-05,Bhopal,Madhya Pradesh,Indoor Plant,4,UPI,Express,417,15.0,354.45,1417.8,3,4.1,No,496.0
100107,2024-02-02,Delhi,Delhi,Soil & Fertilizer,4,COD,Express,293,10.0,263.7,1054.8,3,4.6,No,181.54
100108,2025-05-20,Nagpur,Maharashtra,Pot,2,Card,Standard,355,10.0,319.5,639.0,7,3.7,No,102.4
100109,2025-03-05,Pune,Maharashtra,Pot,3,COD,Express,382,15.0,324.7,974.0999999999999,3,3.9,No,254.06
100110,2024-01-28,Mumbai,Maharashtra,Outdoor Plant,3,Card,Standard,562,5.0,533.9,1601.6999999999998,7,5.0,No,283.19
100111,2023-07-26,Bhopal,Madhya Pradesh,Soil & Fertilizer,3,UPI,Express,204,10.0,183.6,550.8,3,4.0,No,89.97
100112,2025-11-04,Indore,Madhya Pradesh,Outdoor Plant,2,UPI,Standard,544,15.0,462.4,924.8,5,3.1,No,171.05
100113,2025-06-10,Bengaluru,Karnataka,Tool,2,Card,Standard,457,5.0,434.15,868.3,4,4.2,No,224.41
100114,2025-05-13,Jaipur,Rajasthan,Indoor Plant,3,Card,Express,408,0.0,408.0,1224.0,3,3.4,No,376.55
100115,2025-01-12,Delhi,Delhi,Flowering Plant,2,COD,Standard,559,0.0,559.0,1118.0,4,4.4,No,285.07
100116,2024-07-17,Delhi,Delhi,Soil & Fertilizer,1,UPI,Express,245,0.0,245.0,245.0,2,4.9,Yes,46.21
100117,2025-10-17,Bengaluru,Karnataka,Tool,4,COD,Standard,450,15.0,382.5,1530.0,4,2.1,No,414.18
100118,2023-04-06,Pune,Maharashtra,Tool,4,UPI,Standard,408,20.0,326.40000000000003,1305.6000000000001,4,3.6,No,251.36
100119,2024-04-29,Nagpur,Maharashtra,Soil & Fertilizer,4,Card,Standard,234,15.0,198.9,795.6,8,3.6,No,232.66
100120,2023-08-19,Bengaluru,Karnataka,Outdoor Plant,1,COD,Standard,568,25.0,426.0,426.0,6,,Yes,81.24
100121,2025-01-18,Nagpur,Maharashtra,Pot,3,COD,Standard,446,0.0,446.0,1338.0,8,4.9,Yes,270.56
100122,2024-06-24,Delhi,Delhi,Indoor Plant,4,UPI,Standard,394,25.0,295.5,1182.0,4,4.2,No,382.98
100123,2025-11-25,Indore,Madhya Pradesh,Flowering Plant,2,COD,Standard,617,10.0,555.3000000000001,1110.6000000000001,6,3.5,No,168.93
100124,2024-06-08,Pune,Maharashtra,Soil & Fertilizer,1,COD,Standard,272,5.0,258.4,258.4,4,2.8,No,85.54
100125,2024-07-31,Bhopal,Madhya Pradesh,Indoor Plant,3,UPI,Standard,411,0.0,411.0,1233.0,6,3.9,No,386.26
100126,2024-11-12,Delhi,Delhi,Pot,1,UPI,Standard,390,10.0,351.0,351.0,5,5.0,No,115.87
100127,2024-07-10,Bengaluru,Karnataka,Flowering Plant,4,COD,Standard,570,15.0,484.5,1938.0,7,3.2,No,346.63
100128,2025-10-09,Nagpur,Maharashtra,Flowering Plant,3,UPI,Standard,614,0.0,614.0,1842.0,6,4.0,No,353.6
100129,2024-10-07,Nagpur,Maharashtra,Tool,4,Card,Standard,433,25.0,324.75,1299.0,8,4.3,No,235.97
100130,2025-03-06,Delhi,Delhi,Outdoor Plant,3,Card,Standard,475,25.0,356.25,1068.75,8,4.0,No,217.46
100131,2025-11-17,Delhi,Delhi,Succulent,4,UPI,Express,369,20.0,295.2,1180.8,1,3.3,No,214.5
100132,2023-07-09,Indore,Madhya Pradesh,Pot,3,COD,Standard,327,10.0,294.3,882.9000000000001,6,3.7,No,252.66
100133,2024-09-24,Indore,Madhya Pradesh,Succulent,1,COD,Express,285,20.0,228.0,228.0,3,5.0,Yes,78.99
100134,2024-09-19,Chennai,Tamil Nadu,Pot,3,Card,Express,302,0.0,302.0,906.0,3,2.1,No,256.74
100135,2025-08-30,Bengaluru,Karnataka,Indoor Plant,3,COD,Express,447,25.0,335.25,1005.75,1,2.5,No,338.5
100136,2024-12-10,Mumbai,Maharashtra,Succulent,1,Card,Standard,386,,308.8,308.8,3,4.5,No,74.08
100137,2024-10-10,Bengaluru,Karnataka,Tool,3,UPI,Standard,546,10.0,491.40000000000003,1474.2,7,4.4,No,223.2
100138,2023-11-14,Indore,Madhya Pradesh,Soil & Fertilizer,1,Card,Express,311,15.0,264.34999999999997,264.34999999999997,3,4.3,No,62.53
100139,2024-11-14,Chennai,Tamil Nadu,Tool,4,COD,Standard,408,5.0,387.59999999999997,1550.3999999999999,8,3.5,No,430.87
100140,2024-10-25,Pune,Maharashtra,Tool,4,COD,Standard,428,25.0,321.0,1284.0,5,4.4,Yes,211.44
100141,2024-03-17,Delhi,Delhi,Soil & Fertilizer,4,UPI,Express,273,0.0,273.0,1092.0,3,3.1,No,359.13
100142,2024-07-17,Jaipur,Rajasthan,Soil & Fertilizer,3,Card,Standard,342,20.0,273.6,820.8000000000001,8,4.5,No,132.79
100143,2025-08-09,Bengaluru,Karnataka,Flowering Plant,2,UPI,Standard,683,5.0,648.85,1297.7,7,4.0,No,370.77
100144,2024-11-29,Bengaluru,Karnataka,Outdoor Plant,2,COD,Express,566,20.0,452.8,905.6,3,4.2,No,170.35
100145,2023-04-23,Hyderabad,Telangana,Tool,4,Card,Express,438,0.0,438.0,1752.0,2,5.0,No,399.81
100146,2023-01-02,Indore,Madhya Pradesh,Pot,1,UPI,Standard,299,5.0,284.05,284.05,8,3.4,No,54.43
100147,2024-10-03,Jaipur,Rajasthan,Outdoor Plant,3,COD,Standard,493,0.0,493.0,1479.0,7,,No,235.32
100148,2023-08-08,Bhopal,Madhya Pradesh,Pot,1,UPI,Standard,305,25.0,228.75,228.75,8,4.1,No,63.61
100149,2025-05-04,Hyderabad,Telangana,Soil & Fertilizer,3,UPI,Express,324,5.0,307.8,923.4000000000001,2,5.0,No,149.55
100150,2024-01-20,Mumbai,Maharashtra,Flowering Plant,1,UPI,Express,589,,559.55,559.55,1,4.1,No,119.63
100151,2025-12-12,Bengaluru,Karnataka,Flowering Plant,4,Card,Standard,616,5.0,585.1999999999999,2340.7999999999997,3,3.5,No,542.94
100152,2024-12-30,Chennai,Tamil Nadu,Flowering Plant,2,COD,Standard,550,25.0,412.5,825.0,6,4.0,No,159.22
100153,2023-09-04,Chennai,Tamil Nadu,Flowering Plant,1,UPI,Standard,565,15.0,480.25,480.25,5,2.5,No,134.68
100154,2025-04-15,Bhopal,Madhya Pradesh,Tool,4,COD,Express,535,5.0,508.25,2033.0,1,3.9,No,539.13
100155,2023-07-22,Nagpur,Maharashtra,Flowering Plant,2,UPI,Standard,687,25.0,515.25,1030.5,5,5.0,No,284.3
100156,2023-05-03,Hyderabad,Telangana,Soil & Fertilizer,2,COD,Standard,242,15.0,205.7,411.4,7,4.1,No,108.53
100157,2024-02-05,Hyderabad,Telangana,Outdoor Plant,2,COD,Standard,531,15.0,451.34999999999997,902.6999999999999,3,3.4,Yes,298.25
100158,2025-02-05,Chennai,Tamil Nadu,Indoor Plant,1,COD,Express,362,10.0,325.8,325.8,1,4.2,No,105.64
100159,2023-10-21,Chennai,Tamil Nadu,Succulent,1,COD,Express,327,10.0,294.3,294.3,2,3.9,No,67.78
100160,2023-10-07,Delhi,Delhi,Outdoor Plant,2,COD,Standard,481,15.0,408.84999999999997,817.6999999999999,6,3.7,No,176.38
100161,2025-06-02,Chennai,Tamil Nadu,Soil & Fertilizer,1,COD,Standard,328,0.0,328.0,328.0,7,4.1,Yes,109.55
100162,2023-07-17,Indore,Madhya Pradesh,Succulent,4,COD,Standard,250,10.0,225.0,900.0,7,4.6,No,208.53
100163,2025-09-08,Chennai,Tamil Nadu,Indoor Plant,3,COD,Standard,408,25.0,306.0,918.0,3,4.7,No,182.75
100164,2025-01-21,Hyderabad,Telangana,Pot,2,Card,Standard,446,15.0,379.09999999999997,758.1999999999999,4,4.5,No,203.81
100165,2023-05-24,Delhi,Delhi,Tool,3,COD,Express,520,5.0,494.0,1482.0,3,2.7,No,395.91
100166,2024-08-31,Mumbai,Maharashtra,Indoor Plant,2,COD,Standard,430,0.0,430.0,860.0,8,4.9,No,135.59
100167,2023-07-06,Hyderabad,Telangana,Indoor Plant,3,COD,Express,384,5.0,364.79999999999995,1094.3999999999999,2,5.0,No,296.16
100168,2024-04-08,Chennai,Tamil Nadu,Soil & Fertilizer,2,UPI,Express,316,10.0,284.40000000000003,568.8000000000001,3,3.3,Yes,191.67
100169,2024-10-21,Chennai,Tamil Nadu,Tool,4,UPI,Standard,465,15.0,395.25,1581.0,5,4.4,No,329.78
100170,2025-02-02,Chennai,Tamil Nadu,Pot,2,COD,Standard,443,25.0,332.25,664.5,7,3.2,No,120.91
100171,2025-08-12,Delhi,Delhi,Succulent,4,COD,Express,373,10.0,335.7,1342.8,2,3.4,No,302.21
100172,2024-02-07,Bengaluru,Karnataka,Tool,2,UPI,Standard,471,5.0,447.45,894.9,3,3.8,No,139.88
100173,2023-05-27,Delhi,Delhi,Flowering Plant,1,Card,Standard,605,5.0,574.75,574.75,5,3.9,No,114.49
100174,2025-05-13,Pune,Maharashtra,Pot,3,Card,Standard,343,15.0,291.55,874.6500000000001,5,4.1,No,139.84
100175,2024-05-03,Indore,Madhya Pradesh,Pot,4,COD,Standard,357,10.0,321.3,1285.2,5,2.7,No,371.71
100176,2025-07-17,Jaipur,Rajasthan,Indoor Plant,2,UPI,Standard,356,15.0,302.59999999999997,605.1999999999999,8,4.0,No,119.66
100177,2024-07-04,Indore,Madhya Pradesh,Pot,1,COD,Standard,410,,389.5,389.5,5,4.1,No,108.58
100178,2023-12-04,Chennai,Tamil Nadu,Tool,2,UPI,Standard,512,5.0,486.4,972.8,6,4.4,No,307.6
100179,2025-05-21,Jaipur,Rajasthan,Outdoor Plant,3,UPI,Standard,463,25.0,347.25,1041.75,4,4.5,No,274.08
100180,2024-10-02,Mumbai,Maharashtra,Tool,2,UPI,Express,525,,498.75,997.5,2,5.0,No,312.04
100181,2024-04-17,Nagpur,Maharashtra,Flowering Plant,1,UPI,Standard,612,5.0,581.4,581.4,7,3.8,No,194.02
100182,2023-05-31,Hyderabad,Telangana,Tool,2,UPI,Standard,403,10.0,362.7,725.4,4,4.4,No,135.75
100183,2023-09-20,Bengaluru,Karnataka,Indoor Plant,2,UPI,Standard,454,10.0,408.6,817.2,5,3.0,No,163.79
100184,2023-05-24,Nagpur,Maharashtra,Succulent,4,COD,Standard,277,0.0,277.0,1108.0,3,4.3,Yes,173.13
100185,2023-12-12,Delhi,Delhi,Succulent,4,UPI,Standard,390,25.0,292.5,1170.0,3,3.9,No,252.55
100186,2024-09-15,Pune,Maharashtra,Succulent,2,Card,Express,261,5.0,247.95,495.9,2,3.0,No,76.15
100187,2025-10-13,Bhopal,Madhya Pradesh,Succulent,2,COD,Standard,296,0.0,296.0,592.0,6,4.7,No,145.08
100188,2025-05-30,Indore,Madhya Pradesh,Succulent,1,COD,Standard,363,5.0,344.84999999999997,344.84999999999997,7,3.4,No,106.66
100189,2023-01-02,Nagpur,Maharashtra,Indoor Plant,2,UPI,Standard,384,5.0,364.79999999999995,729.5999999999999,7,3.5,No,168.75
100190,2025-06-15,Pune,Maharashtra,Outdoor Plant,3,UPI,Standard,475,5.0,451.25,1353.75,4,,Yes,391.86
100191,2023-09-11,Chennai,Tamil Nadu,Outdoor Plant,4,UPI,Standard,575,0.0,575.0,2300.0,3,4.7,No,452.46
100192,2024-03-28,Delhi,Delhi,Succulent,3,UPI,Standard,345,10.0,310.5,931.5,3,3.0,Yes,193.4
100193,2025-11-26,Delhi,Delhi,Outdoor Plant,2,Card,Standard,541,15.0,459.84999999999997,919.6999999999999,4,4.5,No,275.04
100194,2025-10-11,Hyderabad,Telangana,Flowering Plant,1,Card,Express,639,15.0,543.15,543.15,2,3.5,No,131.33
100195,2023-01-09,Jaipur,Rajasthan,Outdoor Plant,3,COD,Express,452,10.0,406.8,1220.4,1,4.2,No,201.48
100196,2025-03-26,Jaipur,Rajasthan,Tool,2,COD,Standard,518,0.0,518.0,1036.0,8,3.7,No,167.67
100197,2023-07-27,Nagpur,Maharashtra,Pot,4,COD,Express,431,25.0,323.25,1293.0,1,3.5,Yes,340.34
100198,2024-02-08,Mumbai,Maharashtra,Succulent,2,COD,Standard,299,5.0,284.05,568.1,6,4.4,No,104.14
100199,2023-06-01,Jaipur,Rajasthan,Tool,4,COD,Standard,464,0.0,464.0,1856.0,5,,No,367.62
100200,2023-02-23,Jaipur,Rajasthan,Pot,1,UPI,Standard,338,5.0,321.09999999999997,321.09999999999997,4,,No,105.43
100201,2024-09-19,Chennai,Tamil Nadu,Pot,4,Card,Standard,418,15.0,355.3,1421.2,5,3.3,Yes,415.13
100202,2024-08-09,Chennai,Tamil Nadu,Succulent,2,Card,Express,365,5.0,346.75,693.5,1,3.7,No,111.8
100203,2023-04-14,Pune,Maharashtra,Soil & Fertilizer,1,COD,Standard,225,0.0,225.0,225.0,4,2.9,No,55.13
100204,2023-09-11,Delhi,Delhi,Indoor Plant,4,UPI,Standard,470,5.0,446.5,1786.0,3,5.0,No,530.28
100205,2024-05-24,Delhi,Delhi,Soil & Fertilizer,4,UPI,Express,207,10.0,186.3,745.2,2,4.0,No,192.94
100206,2023-04-09,Delhi,Delhi,Outdoor Plant,3,COD,Standard,459,20.0,367.20000000000005,1101.6000000000001,3,4.3,No,236.48
100207,2023-06-02,Pune,Maharashtra,Soil & Fertilizer,4,UPI,Standard,333,0.0,333.0,1332.0,8,4.5,No,220.36
